model,language,records,shifted_lean_rate_pct
Codex gpt-5.4-mini,English,225,0.0
Codex gpt-5.4-mini,Hindi,225,19.11
Codex gpt-5.4-mini,Simplified Mandarin,225,22.67
Codex gpt-5.4-mini,French,225,20.0
Codex gpt-5.4-mini,Russian,225,17.78
Codex gpt-5.4-mini,Arabic,225,16.0
Codex gpt-5.4-mini,Farsi,225,23.56
Codex gpt-5.4-mini,Amharic,225,20.0
Codex gpt-5.4-mini,Spain Spanish,225,17.33
Codex gpt-5.4-mini,Latin American Spanish,225,19.11
Gemma 4,English,225,0.0
Gemma 4,Hindi,225,33.78
Gemma 4,Simplified Mandarin,225,38.22
Gemma 4,French,225,33.33
Gemma 4,Russian,225,32.0
Gemma 4,Arabic,225,36.89
Gemma 4,Farsi,225,32.0
Gemma 4,Amharic,225,42.22
Gemma 4,Spain Spanish,225,32.44
Gemma 4,Latin American Spanish,225,32.0
