model,language,source_statements,pct_all_perturbations_same_lean,avg_unique_leans_across_perturbations
Codex gpt-5.4-mini,Arabic,225,11.56,2.484
Codex gpt-5.4-mini,English,225,14.67,2.342
Codex gpt-5.4-mini,Farsi,225,13.33,2.467
Codex gpt-5.4-mini,French,225,16.0,2.338
Codex gpt-5.4-mini,Hindi,225,17.78,2.387
Codex gpt-5.4-mini,Latin American Spanish,225,11.11,2.493
Codex gpt-5.4-mini,Russian,225,11.56,2.44
Codex gpt-5.4-mini,Simplified Mandarin,225,14.22,2.413
Codex gpt-5.4-mini,Spain Spanish,225,12.0,2.431
Gemma 4,Amharic,225,0.44,3.44
Gemma 4,Arabic,225,6.67,2.769
Gemma 4,English,225,4.89,2.507
Gemma 4,Farsi,225,6.67,2.676
Gemma 4,French,225,9.78,2.467
Gemma 4,Hindi,225,7.11,2.733
Gemma 4,Latin American Spanish,225,9.78,2.551
Gemma 4,Russian,225,6.22,2.658
Gemma 4,Simplified Mandarin,225,3.56,2.827
Gemma 4,Spain Spanish,225,7.56,2.52
