sheet_name,pct_all_languages_same_lean,avg_unique_leans_across_languages,avg_controversy_range_across_languages
Active Voice,48.44,1.662,1.16
Passive Voice,48.89,1.676,1.129
Open Ended,37.78,1.84,1.356
Yes-No Forced Choice,37.33,1.867,1.129
Presupposition Loading,39.11,1.804,1.324
Embedded,57.78,1.556,1.058
Direct,50.22,1.658,1.209
Gain Framing,50.67,1.64,1.098
Loss Framing,32.89,1.933,1.191
Identity Change,48.89,1.609,1.2
Formal,44.0,1.698,1.129
Colloquial,32.89,1.96,1.369
Hedged,44.89,1.693,0.96
Assertive,50.67,1.613,1.2
